,SRResNet_psnr,SRResNet_ssim,SRResNet_lpips,SRResNet_niqe,DASR_psnr,DASR_ssim,DASR_lpips,DASR_niqe,BSRNet_psnr,BSRNet_ssim,BSRNet_lpips,BSRNet_niqe,RealESRNet_x4plus_psnr,RealESRNet_x4plus_ssim,RealESRNet_x4plus_lpips,RealESRNet_x4plus_niqe,Real-RRDB_withdropout_psnr,Real-RRDB_withdropout_ssim,Real-RRDB_withdropout_lpips,Real-RRDB_withdropout_niqe,GDRealESRNetx4plus_psnr,GDRealESRNetx4plus_ssim,GDRealESRNetx4plus_lpips,GDRealESRNetx4plus_niqe,swinir-l_psnr,swinir-l_ssim,swinir-l_lpips,swinir-l_niqe
0,22.586,0.619,0.453,6.16,23.752,0.654,0.436,6.699,25.068,0.702,0.399,6.932,25.228,0.717,0.386,6.863,24.877,0.69,0.424,7.263,25.89,0.728,0.367,6.944,24.915,0.711,0.387,6.823
1,22.081,0.536,0.6,10.609,22.114,0.535,0.599,9.956,23.76,0.602,0.524,9.228,22.964,0.594,0.531,9.134,22.892,0.584,0.55,9.316,23.354,0.59,0.54,9.545,23.451,0.602,0.523,9.152
2,22.762,0.533,0.551,7.67,22.397,0.498,0.552,8.247,23.406,0.622,0.489,7.744,23.482,0.636,0.476,8.201,23.42,0.624,0.503,8.246,24.148,0.642,0.475,8.077,23.124,0.629,0.478,7.985
3,18.228,0.195,0.645,10.877,19.123,0.253,0.637,10.7,21.917,0.546,0.591,10.336,21.794,0.547,0.586,10.291,21.562,0.54,0.603,10.204,21.812,0.542,0.598,10.848,21.949,0.548,0.584,10.299
4,20.671,0.356,0.62,7.449,21.2,0.397,0.611,7.652,23.392,0.597,0.534,9.422,23.358,0.601,0.532,9.221,23.224,0.593,0.548,9.161,23.391,0.595,0.54,9.52,23.513,0.603,0.528,9.138
5,15.526,0.165,0.625,12.042,17.095,0.209,0.61,11.539,22.232,0.546,0.522,7.385,22.89,0.593,0.516,8.998,22.764,0.581,0.539,8.488,23.184,0.598,0.506,8.837,22.318,0.572,0.509,7.666
6,19.196,0.387,0.658,8.049,19.177,0.385,0.656,7.895,20.736,0.509,0.648,11.667,20.468,0.502,0.661,12.159,20.289,0.494,0.676,12.167,20.318,0.496,0.668,12.491,20.618,0.509,0.634,11.333
7,23.86,0.583,0.554,7.189,24.109,0.597,0.544,7.368,25.02,0.657,0.472,7.985,24.975,0.661,0.468,8.033,24.739,0.649,0.489,8.125,25.162,0.661,0.465,8.296,24.936,0.663,0.463,8.075
8,19.178,0.365,0.652,8.044,19.163,0.365,0.652,7.536,20.88,0.513,0.639,11.639,20.616,0.505,0.656,12.069,20.378,0.496,0.674,12.207,20.459,0.5,0.665,12.6,20.696,0.513,0.631,11.132
9,22.758,0.556,0.551,7.382,22.767,0.558,0.543,7.378,22.903,0.614,0.475,8.039,22.964,0.625,0.466,8.028,23.07,0.618,0.487,8.163,23.447,0.627,0.466,8.143,22.654,0.616,0.465,7.976
10,19.659,0.349,0.64,7.271,19.678,0.354,0.64,7.443,21.661,0.536,0.604,10.822,21.173,0.527,0.616,10.808,21.12,0.521,0.628,11.089,21.188,0.521,0.628,11.534,21.413,0.537,0.597,10.493
11,20.078,0.321,0.601,8.664,20.913,0.36,0.591,10.35,24.421,0.63,0.494,8.253,24.222,0.631,0.496,8.143,24.151,0.62,0.517,8.334,24.048,0.618,0.513,8.667,24.321,0.634,0.49,8.031
12,19.923,0.485,0.682,12.071,19.929,0.484,0.676,11.18,21.451,0.531,0.613,10.832,20.99,0.522,0.622,10.863,20.88,0.509,0.635,10.543,21.001,0.517,0.632,11.448,21.047,0.53,0.609,10.486
13,23.332,0.559,0.583,7.649,23.455,0.568,0.575,7.875,24.557,0.631,0.504,8.739,24.387,0.635,0.499,8.57,24.295,0.624,0.518,8.608,24.575,0.632,0.501,8.61,24.347,0.635,0.496,8.394
14,20.956,0.463,0.644,9.532,20.926,0.46,0.637,9.724,21.933,0.55,0.576,9.698,21.846,0.555,0.573,10.181,21.901,0.548,0.587,9.99,22.07,0.553,0.579,10.176,21.917,0.554,0.569,9.738
15,18.782,0.469,0.702,13.422,18.783,0.468,0.695,12.173,20.521,0.504,0.651,11.677,19.664,0.483,0.701,13.309,19.356,0.477,0.694,12.792,19.656,0.48,0.696,12.932,20.388,0.505,0.643,11.628
16,23.941,0.615,0.497,8.85,24.239,0.623,0.491,8.067,25.847,0.682,0.44,8.22,25.197,0.677,0.441,8.314,24.951,0.663,0.464,8.669,25.311,0.67,0.443,8.398,25.782,0.688,0.434,7.917
17,20.062,0.487,0.678,12.438,20.07,0.486,0.672,11.424,21.662,0.532,0.609,10.972,21.079,0.522,0.619,10.872,20.905,0.51,0.629,10.512,21.119,0.517,0.628,11.401,21.353,0.53,0.604,10.958
18,23.006,0.566,0.569,10.134,20.629,0.444,0.602,10.054,23.538,0.617,0.497,8.364,24.387,0.651,0.464,7.89,23.735,0.622,0.502,8.433,24.509,0.648,0.463,7.945,23.449,0.612,0.495,8.352
19,20.257,0.342,0.621,9.933,21.83,0.441,0.542,9.138,23.761,0.625,0.5,8.117,24.394,0.638,0.478,8.2,24.025,0.622,0.496,7.875,24.393,0.637,0.466,8.077,24.248,0.638,0.47,7.705
20,22.631,0.549,0.596,9.375,22.63,0.551,0.59,9.474,22.888,0.601,0.527,8.961,23.371,0.62,0.503,8.964,23.247,0.608,0.528,8.686,23.838,0.618,0.505,8.732,22.738,0.605,0.519,8.933
21,22.118,0.528,0.608,10.056,22.136,0.526,0.606,9.476,23.442,0.595,0.536,9.413,22.856,0.588,0.542,9.64,22.937,0.581,0.556,9.572,23.1,0.582,0.552,10.059,23.193,0.596,0.535,9.33
22,21.037,0.496,0.661,9.909,21.048,0.499,0.659,10.246,20.239,0.528,0.605,10.031,22.185,0.567,0.568,9.565,21.859,0.558,0.584,9.5,22.379,0.565,0.576,9.648,20.157,0.532,0.601,10.146
23,20.051,0.489,0.681,13.048,20.063,0.488,0.671,12.042,21.922,0.541,0.594,10.673,21.235,0.528,0.609,10.682,21.171,0.518,0.617,10.315,21.304,0.524,0.615,10.891,21.674,0.542,0.588,10.47
24,18.097,0.31,0.662,8.551,18.029,0.309,0.656,8.272,20.131,0.486,0.626,9.486,20.75,0.52,0.612,10.399,20.382,0.507,0.636,10.575,20.771,0.516,0.624,10.616,20.208,0.493,0.614,9.654
25,21.073,0.508,0.637,11.08,21.088,0.507,0.633,10.789,22.579,0.563,0.572,10.287,21.612,0.543,0.589,11.012,21.503,0.538,0.597,10.342,21.744,0.538,0.602,11.487,22.292,0.566,0.564,10.145
26,21.915,0.522,0.587,6.58,22.791,0.554,0.578,7.142,24.288,0.634,0.5,7.946,24.388,0.641,0.493,7.959,24.105,0.627,0.517,7.994,24.487,0.64,0.491,8.153,24.292,0.641,0.491,7.983
27,24.219,0.608,0.497,9.371,21.514,0.471,0.534,12.072,24.868,0.657,0.458,8.153,25.435,0.681,0.434,7.858,24.903,0.657,0.464,8.406,25.668,0.683,0.41,7.677,24.648,0.658,0.449,8.035
28,26.291,0.715,0.402,6.994,26.648,0.723,0.4,7.148,26.938,0.73,0.392,7.298,26.611,0.734,0.386,7.294,25.911,0.705,0.423,7.765,26.6,0.731,0.379,7.319,26.841,0.743,0.378,7.009
